instnm,Highest degree offered (HD2016),Level of institution (HD2016),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Admissions yield - full time (DRVADM2015),Percent admitted - total (DRVADM2015),
Mid-America Christian University,20,1,27139,27139,,,
Mid-America College of Funeral Service,30,1,,,,,
Mid-America Technology Center,0,3,,,,,
Mid-Atlantic Christian University,30,1,28350,28350,59,42,
Mid-Del Technology Center,0,3,,,,,
Mid-EastCTC-Adult Education,0,3,,,,,
Mid-Plains Community College,40,2,12700,13450,,,
Mid-South Christian College,30,1,13089,13089,,,
Mid-State Technical College,40,2,,,,,
MidAmerica Nazarene University,20,1,40284,40284,34,61,
Middle Georgia State University,20,1,15613,22642,73,63,
Middle Tennessee School of Anesthesia Inc,13,1,,,,,
Middle Tennessee State University,12,1,22228,39364,47,73,
Middlebury College,12,1,66332,66332,38,17,
Middlebury Institute of International Studies at Monterey,20,1,,,,,
Middlesex Community College,40,2,,,,,
Middlesex Community College,40,2,,,,,
Middlesex County College,40,2,,,,,
Midfield Institute of Cosmetology,0,3,,,,,
Midland College,30,1,13865,15065,,,
Midland University,20,1,41900,41900,29,61,
Midlands Technical College,40,2,,,,,
Midstate College,30,1,,,32,100,
Midway Paris Beauty School,0,3,,,,,
Midway University,20,1,39650,39650,36,46,
Midwest College of Oriental Medicine-Evanston,14,1,,,,,
Midwest College of Oriental Medicine-Racine,20,1,,,,,
Midwest Institute,40,2,,,,,
Midwest Technical Institute,0,3,,,,,
Midwest Technical Institute-East Peoria,0,3,,,,,
Midwest Technical Institute-Moline,0,2,,,,,
Midwest Technical Institute-Ridgeland,0,3,,,,,
Midwest Technical Institute-Springfield,0,3,,,,,
Midwest Technical Institute-Springfield,0,3,,,,,
Midwestern Baptist Theological Seminary,11,1,16832,16832,55,97,
Midwestern Career College,40,2,,,,,
Midwestern State University,20,1,19812,21762,38,76,
Midwestern University-Downers Grove,13,1,,,,,
Midwestern University-Glendale,13,1,,,,,
Midwives College of Utah,20,1,,,100,100,
Mifflin County Academy of Science and Technology,0,3,,,69,75,
Milan Institute of Cosmetology-Amarillo,0,3,,,,,
Milan Institute of Cosmetology-El Paso,0,3,,,,,
Milan Institute of Cosmetology-Fairfield,0,3,,,,,
Milan Institute of Cosmetology-La Quinta,0,3,,,,,
Milan Institute of Cosmetology-Nampa,0,2,,,,,
Milan Institute of Cosmetology-Reno,0,2,,,,,
Milan Institute of Cosmetology-San Antonio Military,0,3,,,,,
Milan Institute of Cosmetology-San Antonio Walzem,0,3,,,,,
Milan Institute of Cosmetology-Visalia,0,3,,,,,
Milan Institute-Amarillo,0,3,,,,,
Milan Institute-Bakersfield,0,3,,,,,
Milan Institute-Bakersfield West,40,2,,,,,
Milan Institute-Clovis,0,3,,,,,
Milan Institute-Las Vegas,0,3,,,,,
Milan Institute-Merced,0,3,,,,,
Milan Institute-Nampa,0,3,,,,,
Milan Institute-Palm Desert,0,3,,,,,
Milan Institute-San Antonio Ingram,0,3,,,,,
Milan Institute-Sparks,0,3,,,,,
Milan Institute-Visalia,0,3,,,,,
Mildred Elley School-Albany Campus,40,2,,,,,
Mildred Elley-New York Campus,40,2,,,,,
Mildred Elley-Pittsfield Campus,0,3,,,,,
Miles College,30,1,22614,22614,,,
Miles Community College,40,2,14470,17560,,,
Millennia Atlantic University,20,1,,,,,
Millennium Training Institute,0,3,,,,,
Miller-Motte College-Cary,40,2,,,,,
Miller-Motte College-Fayetteville,40,2,,,,,
Miller-Motte College-Greenville,40,2,,,,,
Miller-Motte College-Jacksonville,40,2,,,,,
Miller-Motte College-Raleigh,40,2,,,,,
Miller-Motte College-Wilmington,30,1,,,,,
Miller-Motte Technical College-Augusta,40,2,,,,,
Miller-Motte Technical College-Charleston,40,2,,,,,
Miller-Motte Technical College-Chattanooga,40,2,,,,,
Miller-Motte Technical College-Clarksville,40,2,,,,,
Miller-Motte Technical College-Columbus,40,2,,,,,
Miller-Motte Technical College-Conway,40,2,,,,,
Miller-Motte Technical College-Gulfport,40,2,,,,,
Miller-Motte Technical College-Lynchburg,40,2,,,,,
Miller-Motte Technical College-Macon,40,2,,,,,
Miller-Motte Technical College-Madison,40,2,,,,,
Miller-Motte Technical College-Roanoke,40,2,,,,,
Millersville University of Pennsylvania,12,1,28332,37692,30,73,
Milligan College,12,1,41098,41098,48,65,
Millikin University,13,1,46114,46114,20,60,
Mills College,12,1,62697,62697,22,72,
Millsaps College,20,1,53030,53030,12,53,
Milwaukee Area Technical College,40,2,,,,,
Milwaukee Career College,40,2,,,75,70,
Milwaukee Institute of Art & Design,30,1,46830,46830,42,62,
Milwaukee School of Engineering,20,1,50321,50321,33,65,
Mims Classic Beauty College,0,3,,,,,
Mind Body Institute,0,3,,,,,
Mineral Area College,40,2,16444,17914,,,
Mineral County Vocational Technical Center,0,3,,,,,
Minerva Schools at Keck Graduate Institute,20,1,29950,29950,53,2,
Mingo Extended Learning Center,0,3,,,,,
Minneapolis Business College,40,2,25881,25881,,,
Minneapolis College of Art and Design,20,1,48220,48220,40,66,
Minneapolis Community and Technical College,40,2,,,,,
Minneapolis Media Institute,30,1,,,,,
Minnesota School of Business-Blaine,30,1,,,,,
Minnesota School of Business-Brooklyn Center,30,1,,,,,
Minnesota School of Business-Elk River,30,1,,,,,
Minnesota School of Business-Lakeville,30,1,,,,,
Minnesota School of Business-Moorhead,30,1,,,,,
Minnesota School of Business-Plymouth,30,1,,,,,
Minnesota School of Business-Richfield,30,1,,,,,
Minnesota School of Business-Rochester,30,1,,,,,
Minnesota School of Business-Waite Park,30,1,,,,,
Minnesota School of Cosmetology-Plymouth Campus,0,3,,,,,
Minnesota School of Cosmetology-Woodbury Campus,0,3,,,,,
Minnesota State College Southeast,40,2,,,,,
Minnesota State Community and Technical College,40,2,16822,16822,,,
Minnesota State University Moorhead,20,1,20460,27596,36,77,
Minnesota State University-Mankato,12,1,19420,27164,35,67,
Minnesota West Community and Technical College,40,2,17140,22236,,,
Minot State University,20,1,17332,17332,65,57,
MiraCosta College,40,2,,,,,
MiraCosta College -,-3,-3,,,,,
Mirrer Yeshiva Cent Institute,12,1,17361,17361,87,86,
Misericordia University,13,1,46140,46140,31,71,
Mission Beauty College,0,3,,,,,
Mission College,40,2,,,,,
Mississippi College,11,1,30963,30963,37,82,
Mississippi College of Beauty Culture,0,3,,,,,
Mississippi Community College Board,40,2,,,,,
Mississippi Delta Community College,40,2,8730,10338,,,
Mississippi Gulf Coast Community College,40,2,11322,14122,,,
Mississippi Institute of Aesthetics Nails & Cosmetology,0,3,,,,,
Mississippi State University,11,1,23582,36702,43,65,
Mississippi University for Women,13,1,18609,29178,38,96,
Mississippi Valley State University,20,1,19310,19310,21,76,
Missouri Baptist University,12,1,37645,37645,50,57,
Missouri College,30,1,,,,,
Missouri College of Cosmetology North,0,3,,,,,
Missouri School of Barbering,0,3,,,,,
Missouri Southern State University,20,1,16248,21293,42,94,
Missouri State University-Springfield,13,1,20482,27532,43,86,
Missouri State University-West Plains,40,2,13603,17173,,,
Missouri University of Science and Technology,12,1,22045,38161,47,88,
Missouri Valley College,20,1,32280,32280,30,46,
Missouri Western State University,20,1,19495,25235,,,
Mitchell College,30,1,48480,48480,26,74,
Mitchell Community College,40,2,,,,,
Mitchell Hamline School of Law,13,1,,,,,
Mitchell Technical Institute,40,2,,,,,
Mitchell's Hair Styling Academy-Raleigh,0,3,,,,,
Mitchells Hairstyling Academy-Goldsboro,0,3,,,,,
Mitchells Hairstyling Academy-Wilson,0,3,,,,,
Mitsu Sato Hair Academy,0,3,,,,,
MJ's Barber Academy,0,3,,,,,
MJ's Beauty Academy Inc,0,3,,,,,
MKG Beauty & Business,0,3,,,,,
Moberly Area Community College,40,2,13574,15164,,,
Model College of Hair Design,0,3,,,,,
Modern Beauty Academy,0,3,,,,,
Modern Beauty School Inc,0,2,,,,,
Modern Technology School,0,2,,,94,52,
Modern Welding School,0,3,,,,,
Modesto Junior College,30,1,,,,,
Mohave Community College,40,2,,,,,
Mohawk Valley Community College,40,2,17965,22049,,,
Moler Barber College,0,3,,,,,
Moler Barber College,0,3,,,,,
Moler Hollywood Beauty Academy,0,2,,,,,
Moler-Pickens Beauty Academy,0,2,,,,,
Molloy College,12,1,48684,48684,20,76,
Monmouth College,30,1,46550,46550,16,62,
Monmouth County Vocational School District,0,3,,,,,
Monmouth University,13,1,53110,53110,19,74,
Monongalia County Technical Education Center,0,3,,,100,80,
Monroe 2 Orleans BOCES-Center for Workforce Development,0,3,,,,,
Monroe College,20,1,29030,29030,57,45,
Monroe Community College,40,2,17359,21459,,,
Monroe County Community College,40,2,,,,,
Montage Academy,0,2,,,,,
Montana Academy of Salons,0,2,,,,,
Montana Bible College,30,1,13490,13490,40,100,
Montana State University,11,1,20467,36766,21,83,
Montana State University-Billings,20,1,19096,31486,,,
Montana State University-Northern,20,1,16071,28381,46,100,
Montana Tech of the University of Montana,12,1,19917,33340,46,89,
Montcalm Community College,40,2,,,,,
Montclair State University,11,1,29820,37711,37,70,
Monterey Peninsula College,40,2,,,,,
Montessori Casa International,0,3,,,,,
Montessori Education Center of the Rockies,0,1,,,85,100,
Montessori Education Institute of the Pacific Northwest,0,2,,,,,
Montessori Institute of Milwaukee,0,1,,,,,
Montgomery Beauty School,0,3,,,,,
Montgomery College,40,2,,,,,
Montgomery Community College,40,2,,,,,
Montgomery County Community College,40,2,,,,,
Montreat College,20,1,37344,37344,33,54,
Montserrat College of Art,30,1,45650,45650,,,
Monty Tech,0,3,,,,,
Moody Bible Institute,20,1,26474,26474,59,68,
Moore Career College,0,3,,,,,
Moore College of Art and Design,20,1,57090,57090,31,87,
Moore Norman Technology Center,0,2,,,31,42,
Moorpark College,40,2,,,,,
Moraine Park Technical College,40,2,,,,,
Moraine Valley Community College,40,2,,,,,
Moravian College,20,1,55526,55526,26,75,
More Tech Institute,0,3,,,,,
Morehead State University,14,1,21278,25526,35,85,
Morehouse College,30,1,47952,47952,34,76,
Morehouse School of Medicine,11,1,,,,,
Moreno Valley College,40,2,,,,,
Morgan Community College,40,2,,,,,
Morgan State University,12,1,24321,34189,34,67,
Morgantown Beauty College Inc,0,2,,,,,
Morningside College,20,1,42822,42822,15,56,
Morris College,30,1,24500,24500,,,
Morris County Vocational School District,0,3,,,81,100,
Morrison Institute of Technology,40,2,27266,27266,,,
Morrisville State College,30,1,26853,36903,35,58,
Morthland College,30,1,33060,33060,49,47,
Morton College,40,2,,,,,
Motlow State Community College,40,2,,,,,
Motoring Technical Training Institute,0,3,,,66,94,
MotoRing Technical Training Institute,0,3,,,67,71,
Mott Community College,40,2,,,,,
Mount Aloysius College,20,1,37290,37290,34,73,
Mount Angel Seminary,14,1,35649,35649,93,93,
Mount Carmel College of Nursing,13,1,24013,24013,62,82,
Mount Holyoke College,20,1,61206,61206,27,50,
Mount Ida College,20,1,49892,49892,29,63,
Mount Marty College,13,1,38334,38334,34,73,
Mount Mary University,13,1,43850,43850,36,53,
Mount Mercy University,20,1,43654,43654,35,61,
Mount Saint Joseph University,13,1,39544,39544,98,15,
Mount Saint Mary College,20,1,45902,45902,13,90,
Mount Saint Mary's University,13,1,56455,56455,29,77,
Mount St Mary's University,20,1,54310,54310,12,67,
Mount Vernon Nazarene University,20,1,39166,39166,43,78,
Mount Wachusett Community College,40,2,,,,,
Mount Washington College,30,1,,,,,
Mountain Empire Community College,40,2,,,,,
Mountain State College,40,2,,,,,
Mountain State School of Massage,0,3,,,,,
Mountain View College,40,2,,,,,
Mountainland Applied Technology College,0,2,,,,,
Mountwest Community and Technical College,40,2,,,,,
Mr Bela's School of Cosmetology Inc,0,3,,,,,
Mr John's School of Cosmetology & Nails-Jacksonville,0,3,,,,,
Mr John's School of Cosmetology Esthetics & Nails-Decatur,0,2,,,,,
Mr Leon's School of Hair Design-Lewiston,0,2,,,,,
Mr Leon's School of Hair Design-Moscow,0,2,,,,,
Mr Wayne's School of Unisex Hair Design,0,3,,,,,
Mt Hood Community College,40,2,,,,,
Mt San Antonio College,40,2,,,,,
Mt San Jacinto Community College District,40,2,,,,,
Mt Sierra College,30,1,,,,,
Mt. Diablo Adult Education-Mt. Diablo USD,0,3,,,,,
MTI Business College Inc,0,3,,,,,
MTI College,40,2,,,74,78,
Mueller College,40,2,,,,,
Muhlenberg College,30,1,62360,62360,24,48,
Multnomah University,14,1,38670,38670,47,59,
Murray State College,40,2,16764,22224,,,
Murray State University,13,1,21772,36052,33,91,
Music City Barber College,0,3,,,,,
Musicians Institute,30,1,38475,38475,52,86,
Muskegon Community College,40,2,,,,,
Muskingum University,20,1,40308,40308,25,74,
My Le's Beauty College,0,3,,,,,
My Le's Beauty College,0,3,,,,,
MyComputerCareer.com-Columbus,40,2,,,,,
MyComputerCareer.com-Indianapolis,0,3,,,,,
MyComputerCareer.com-Raleigh,0,3,,,,,
Myotherapy College of Utah,0,3,,,,,
Myotherapy Institute,40,2,,,,,
Napa Valley College,40,2,,,,,
Naropa University,20,1,47585,47585,30,80,
NASCAR Technical Institute,0,2,,,,,
Nash Community College,40,2,,,,,
Nashotah House,13,1,,,,,
Nashua Community College,40,2,,,,,
Nashville Barber and Style Academy,0,3,,,,,
Nashville College of Medical Careers,0,3,,,,,
Nashville State Community College,40,2,,,,,
Nassau Community College,40,2,,,,,
National Academy of Beauty Arts-Farmington,0,3,,,,,
National Academy of Beauty Arts-St Louis,0,3,,,,,
National American University-Albuquerque,30,1,,,,,
National American University-Albuquerque West,30,1,,,,,
National American University-Austin,30,1,,,,,
National American University-Austin South,30,1,,,,,
National American University-Bellevue,30,1,,,,,
National American University-Bloomington,30,1,,,,,
National American University-Brooklyn Center,30,1,,,,,
National American University-Burnsville,30,1,,,,,
National American University-Centennial,30,1,,,,,
National American University-Colorado Springs,30,1,,,,,
National American University-Colorado Springs South,30,1,,,,,
National American University-Denver,30,1,,,,,
National American University-Ellsworth AFB Extension,30,1,,,,,
National American University-Georgetown,30,1,,,,,
National American University-Harold D. Buckingham Graduate School,12,1,,,,,
National American University-Houston,30,1,,,,,
National American University-Independence,30,1,,,,,
National American University-Indianapolis,30,1,,,,,
National American University-Lee's Summit,30,1,,,,,
National American University-Lewisville,30,1,,,,,
National American University-Mesquite,30,1,,,,,
National American University-Overland Park,30,1,,,,,
National American University-Rapid City,30,1,,,,,
National American University-Richardson,30,1,,,,,
National American University-Rochester,30,1,,,,,
National American University-Roseville,30,1,,,,,
National American University-Sioux Falls,30,1,,,,,
National American University-Tigard,30,1,,,,,
National American University-Tulsa,30,1,,,,,
National American University-Weldon Spring,30,1,,,,,
National American University-Westwood Teach-Out Site,30,1,,,,,
National American University-Wichita,30,1,,,,,
National American University-Wichita West,30,1,,,,,
National American University-Zona Rosa,30,1,,,,,
National Aviation Academy of New England,0,2,,,,,
National Aviation Academy of Tampa Bay,0,2,,,,,
National Beauty College,0,3,,,,,
National Beauty College,0,3,,,,,
National Beauty College,0,2,,,,,
National Career College,40,2,,,,,
National Career Education,40,2,,,,,
National Career Institute,0,3,,,,,
National College-Nashville,40,2,,,,,
National Conservatory of Dramatic Arts,0,2,,,100,100,
National Graduate School of Quality Management,14,1,,,,,
National Holistic Institute,0,3,,,,,
National Institute of Massotherapy,40,2,,,,,
National Latino Education Institute,0,3,,,88,73,
National Louis University,12,1,,,41,81,
National Paralegal College,20,1,,,,,
National Park College,40,2,,,,,
National Personal Training Institute,0,3,,,,,
National Personal Training Institute,0,3,,,,,
National Personal Training Institute of Colorado,0,3,,,,,
National Personal Training Institute of Colorado,0,3,,,,,
National Personal Training Institute of Columbus,0,3,,,,,
National Personal Training Institute of Massachusetts,0,3,,,,,
National Personal Training Institute-Tampa,0,3,,,,,
National Polytechnic College,40,2,,,,,
National Tractor Trailer School Inc-Buffalo,0,3,,,,,
National Tractor Trailer School Inc-Liverpool,0,3,,,,,
National University,20,1,,,,,
National University of Health Sciences,13,1,,,,,
National University of Natural Medicine,13,1,,,,,
Nationwide Beauty Academy,0,2,,,,,
Natural Images Beauty College,0,3,,,,,
Naugatuck Valley Community College,40,2,,,,,
Navajo Technical University,20,1,15510,15510,,,
Naval Postgraduate School,12,1,,,,,
Navarro College,40,2,18982,20512,,,
Nazarene Bible College,30,1,,,,,
Nazarene Theological Seminary,14,1,,,,,
Nazareth College,13,1,48299,48299,19,76,
Nebraska Christian College of Hope International University,30,1,28750,28750,,,
Nebraska College of Technical Agriculture,40,2,16408,21286,,,
Nebraska Indian Community College,40,2,,,,,
Nebraska Methodist College of Nursing & Allied Health,14,1,28012,28012,52,34,
Nebraska Wesleyan University,20,1,44652,44652,33,79,
NeeCee's College of Cosmetology,0,3,,,,,
Neighborhood Playhouse School of the Theater,0,2,,,54,77,
Neilson Beauty College,0,3,,,,,
Neosho Beauty College,0,3,,,,,
Neosho County Community College,40,2,15068,15068,,,
Ner Israel Rabbinical College,11,1,22250,22250,88,78,
Networks Barber College,0,3,,,,,
Neumann University,11,1,44196,44196,20,91,
Neumont University,20,1,33606,33606,24,83,
Nevada Career Institute,40,2,,,,,
Nevada Regional Technical Center,0,3,,,,,
Nevada State College,30,1,,,33,65,
Nevada System of Higher Education-System Office,11,1,,,,,
New Age Training,0,3,,,,,
New Beginning College of Cosmetology,0,3,,,,,
New Beginnings Beauty Academy,0,3,,,,,
New Brunswick Theological Seminary,12,1,,,,,
New Castle Beauty Academy,0,3,,,,,
New Castle School of Trades,40,2,,,69,100,
New College of Florida,20,1,20395,43423,26,61,
New Concept Massage and Beauty School,0,3,,,,,
New Concepts School of Cosmetology,0,3,,,,,
New Dimensions Beauty Academy Inc,0,2,,,,,
New Dimensions School of Hair Design,0,3,,,,,
New England College,13,1,52488,52488,9,98,
New England College of Business and Finance,20,1,,,,,
New England College of Optometry,13,1,,,,,
New England Culinary Institute,30,1,,,,,
New England Hair Academy,0,3,,,,,
New England Institute of Technology,20,1,42137,42137,,,
New England Law-Boston,13,1,,,,,
New England School of Acupuncture,20,1,,,,,
New England School of Hair Design,0,3,,,,,
New England School of Photography,0,3,,,57,52,
New England Tractor Trailer Training School of Connecticut,0,3,,,,,
New England Tractor Trailer Training School of CT-Bridgeport,0,3,,,,,
New England Tractor Trailer Training School of Massachusetts,0,3,,,,,
New England Tractor Trailer Training School of Rhode Island,0,3,,,,,
New Hampshire Institute for Therapeutic Arts,0,3,,,,,
New Hampshire Institute of Art,20,1,42060,42060,,,
